Game Number,Bot 1 Level,Bot 2 Level,Round,Diamond,Bot 1 Play,Bot 2 Play,Winner,Points Awarded
5,medium,expert,11,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
5,medium,expert,12,6 ♦,"['6 ♠', '9 ♣']",9 ♣,bot2,6
5,medium,expert,13,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10

Game Number,5,Final Scores
bot1,54.0
bot2,37.0
Winner,bot1

6,medium,expert,1,9 ♦,"['9 ♠', '1 ♣']",1 ♣,bot1,9
6,medium,expert,2,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
6,medium,expert,3,5 ♦,"['5 ♠', '2 ♣']",2 ♣,bot1,5
6,medium,expert,4,4 ♦,"['4 ♠', '3 ♣']",3 ♣,bot1,4
6,medium,expert,5,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
6,medium,expert,6,1 ♦,"['1 ♠', '4 ♣']",4 ♣,bot2,1
6,medium,expert,7,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
6,medium,expert,8,2 ♦,"['2 ♠', '5 ♣']",5 ♣,bot2,2
6,medium,expert,9,3 ♦,"['3 ♠', '6 ♣']",6 ♣,bot2,3
6,medium,expert,10,6 ♦,"['6 ♠', '7 ♣']",7 ♣,bot2,6
6,medium,expert,11,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
6,medium,expert,12,7 ♦,"['7 ♠', '8 ♣']",8 ♣,bot2,7
6,medium,expert,13,8 ♦,"['8 ♠', '9 ♣']",9 ♣,bot2,8

Game Number,6,Final Scores
bot1,41.0
bot2,50.0
Winner,bot2

7,medium,expert,1,9 ♦,"['9 ♠', '1 ♣']",1 ♣,bot1,9
7,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
7,medium,expert,3,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
7,medium,expert,4,4 ♦,"['4 ♠', '3 ♣']",3 ♣,bot1,4
7,medium,expert,5,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
7,medium,expert,6,3 ♦,"['3 ♠', '4 ♣']",4 ♣,bot2,3
7,medium,expert,7,1 ♦,"['1 ♠', '5 ♣']",5 ♣,bot2,1
7,medium,expert,8,2 ♦,"['2 ♠', '6 ♣']",6 ♣,bot2,2
7,medium,expert,9,7 ♦,"['7 ♠', '7 ♣']",7 ♣,"['bot1', 'bot2']",7
7,medium,expert,10,6 ♦,"['6 ♠', '8 ♣']",8 ♣,bot2,6
7,medium,expert,11,5 ♦,"['5 ♠', '9 ♣']",9 ♣,bot2,5
7,medium,expert,12,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
7,medium,expert,13,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13

Game Number,7,Final Scores
bot1,47.5
bot2,43.5
Winner,bot1

8,medium,expert,1,1 ♦,"['1 ♠', '1 ♣']",1 ♣,"['bot1', 'bot2']",1
8,medium,expert,2,7 ♦,"['7 ♠', '2 ♣']",2 ♣,bot1,7
8,medium,expert,3,4 ♦,"['4 ♠', '3 ♣']",3 ♣,bot1,4
8,medium,expert,4,3 ♦,"['3 ♠', '4 ♣']",4 ♣,bot2,3
8,medium,expert,5,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
8,medium,expert,6,8 ♦,"['8 ♠', '5 ♣']",5 ♣,bot1,8
8,medium,expert,7,5 ♦,"['5 ♠', '6 ♣']",6 ♣,bot2,5
8,medium,expert,8,6 ♦,"['6 ♠', '7 ♣']",7 ♣,bot2,6
8,medium,expert,9,2 ♦,"['2 ♠', '8 ♣']",8 ♣,bot2,2
8,medium,expert,10,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9
8,medium,expert,11,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
8,medium,expert,12,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
8,medium,expert,13,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10

Game Number,8,Final Scores
bot1,47.0
bot2,44.0
Winner,bot1

9,medium,expert,1,3 ♦,"['3 ♠', '1 ♣']",1 ♣,bot1,3
9,medium,expert,2,8 ♦,"['8 ♠', '2 ♣']",2 ♣,bot1,8
9,medium,expert,3,5 ♦,"['5 ♠', '3 ♣']",3 ♣,bot1,5
9,medium,expert,4,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
9,medium,expert,5,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
9,medium,expert,6,2 ♦,"['2 ♠', '5 ♣']",5 ♣,bot2,2
9,medium,expert,7,9 ♦,"['9 ♠', '6 ♣']",6 ♣,bot1,9
9,medium,expert,8,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
9,medium,expert,9,1 ♦,"['1 ♠', '7 ♣']",7 ♣,bot2,1
